,current_day,clound_min,clound_max,clound_std,clound_median
161,2019-6-11,1.0,4.0,1.0730867399773196,2.0
162,2019-6-12,1.0,4.0,1.3568010505999362,3.0
163,2019-6-13,1.0,4.0,1.2309149097933272,4.0
164,2019-6-14,1.0,4.0,1.0836246694508318,4.0
165,2019-6-15,1.0,4.0,1.243163121016122,2.0
166,2019-6-16,1.0,4.0,1.1645001528813148,4.0
167,2019-6-17,4.0,4.0,0.0,4.0
168,2019-6-18,4.0,4.0,0.0,4.0
169,2019-6-19,1.0,4.0,1.0836246694508318,4.0
170,2019-6-20,1.0,4.0,1.3026778945578592,2.5
171,2019-6-21,1.0,4.0,0.9962049198956219,4.0
172,2019-6-22,2.0,4.0,0.5773502691896257,4.0
173,2019-6-23,4.0,4.0,0.0,4.0
174,2019-6-24,4.0,4.0,0.0,4.0
175,2019-6-25,1.0,4.0,0.8660254037844386,4.0
176,2019-6-26,4.0,4.0,0.0,4.0
177,2019-6-27,4.0,4.0,0.0,4.0
178,2019-6-28,1.0,4.0,0.8660254037844386,4.0
179,2019-6-29,1.0,4.0,0.8660254037844386,4.0
180,2019-6-30,1.0,4.0,1.1677484162422844,4.0
181,2019-7-1,1.0,4.0,0.8660254037844386,4.0
182,2019-7-2,1.0,4.0,0.8660254037844386,4.0
183,2019-7-3,4.0,4.0,0.0,4.0
184,2019-7-4,4.0,4.0,0.0,4.0
185,2019-7-5,4.0,4.0,0.0,4.0
186,2019-7-6,4.0,4.0,0.0,4.0
187,2019-7-7,1.0,4.0,0.9962049198956219,4.0
188,2019-7-8,4.0,4.0,0.0,4.0
189,2019-7-9,1.0,4.0,0.8660254037844386,4.0
190,2019-7-10,4.0,4.0,0.0,4.0
191,2019-7-11,2.0,4.0,0.5773502691896257,4.0
192,2019-7-12,1.0,4.0,1.2309149097933274,4.0
193,2019-7-13,1.0,4.0,1.1381803659589922,4.0
194,2019-7-14,1.0,4.0,1.2673044646258476,4.0
195,2019-7-15,1.0,4.0,1.2309149097933274,4.0
196,2019-7-16,1.0,4.0,0.8660254037844386,4.0
197,2019-7-17,4.0,4.0,0.0,4.0
198,2019-7-18,1.0,4.0,1.378954368902449,4.0
199,2019-7-19,1.0,4.0,1.0836246694508318,4.0
200,2019-7-20,1.0,4.0,1.2673044646258473,4.0
201,2019-7-21,4.0,4.0,0.0,4.0
202,2019-7-22,4.0,4.0,0.0,4.0
203,2019-7-23,4.0,4.0,0.0,4.0
204,2019-7-24,4.0,4.0,0.0,4.0
205,2019-7-25,4.0,4.0,0.0,4.0
206,2019-7-26,1.0,4.0,1.2309149097933274,4.0
207,2019-7-27,1.0,4.0,1.1381803659589922,2.0
